合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
10年国债 (T2112),99.615,101.605/97.625,2%,2%,19923元,3.03元,3.03元,0元,50,3元,47,主力合约,0.2359%
棉纱 (CY203),25435,26965/23905,7%,7%,8902.25元,4元,4元,0元,25,4元,21,,0.2359%
豆油 (y2209),8254,8914/7594,9%,9%,7428.6元,2.5元,2.5元,0元,20,2.5元,17.5,,0.2356%
纯碱 (SA112),2928,3163/2693,12%,12%,7027.2元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2348%
豆油 (y2112),9370,10118/8622,9%,9%,8433元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2348%
5年期国债 (TF2106),100.15,101.35/98.95,2%,2%,20030元,3.03元,3.03元,0元,50,3元,47,,0.2346%
纯碱 (SA201),2933,3168/2698,12%,12%,7039.2元,3.5元,3.5元,0元,20,3.5元,16.5,主力合约,0.2344%
纯碱 (SA203),2953,3190/2716,12%,12%,7087.2元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2328%
石油沥青 (bu2109),3012,3252/2770,20%,20%,6024元,1/万分之,1/万分之,1/万分之,20,6元,14,,0.2324%
5年期国债 (TF2109),101.28,102.495/100.065,2%,2%,20256元,3.03元,3.03元,0元,50,3元,47,,0.2320%
纯碱 (SA202),2972,3210/2734,12%,12%,7132.8元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2313%
豆油 (y2111),9574,10338/8810,9%,9%,8616.6元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2298%
纯碱 (SA204),2996,3236/2756,12%,12%,7190.4元,3.5元,3.5元,0元,20,3.5元,16.5,,0.2295%
